Rank,Player,Accurate_Passes,Club
1,R.Dias,85.9,Manchester City
2,T.Cairney,82.2,Fulham
3,L.Dunk,76.4,Brighton & Hove Albion
4,M.Akanji,72.4,Manchester City
5,V.van Dijk,72.4,Liverpool
6,W.Saliba,71.3,Arsenal
7,M.Kovacic,71.2,Manchester City
8,T.Adarabioyo,68.9,Fulham
9,L.Colwill,66.5,Chelsea
11,W.Endo,61.4,Liverpool
12,I.Gündogan,61.0,Barcelona
13,J.van Hecke,61.0,Brighton & Hove Albion
14,K.Trippier,61.0,Newcastle United
15,L.Martinez,60.7,Manchester United
16,I.Konate,60.1,Liverpool
17,T.Doyle,59.9,Leicester City
18,T.Harwood-Bellis,59.6,Southampton
19,J.Andersen,57.6,Crystal Palace
21,G.Gabriel,56.2,Arsenal
22,J.Stephens,56.0,Southampton
23,R.James,55.6,Chelsea
24,J.Bednarek,55.5,Southampton
25,L.Yoro,54.2,Lille
26,P.Torres,54.1,Aston Villa
27,R.Barkley,53.1,Luton Town
28,R.Lewis,52.4,Manchester City
29,M.de Ligt,52.4,Bayern Munich
