Rank,Player,Club,Matches,Assists
1,M.Salah,Liverpool,38,18
2,J.Murphy,Newcastle United,35,12
3,A.Elanga,Nottingham Forest,38,11
4,B.Fernandes,Manchester United,36,10
5,B.Saka,Arsenal,25,10
6,M.Damsgaard,Brentford,38,10
7,M.Rogers,Aston Villa,37,10
8,A.Robinson,Fulham,36,10
9,H.Son,Tottenham Hotspur,30,9
10,C.Palmer,Chelsea,37,8
11,M.Odegaard,Arsenal,30,8
12,J.Bowen,West Ham United,34,8
13,S.Savinho,Manchester City,29,8
14,E.Eze,Crystal Palace,34,8
15,M.Gibbs-White,Nottingham Forest,34,8
16,O.Watkins,Aston Villa,38,8
17,B.Mbeumo,Brentford,38,7
18,K.De Bruyne,Napoli,44,7
19,E.Fernández,Chelsea,36,7
20,J.Maddison,Tottenham Hotspur,31,7
21,Y.Tielemans,Aston Villa,36,7
22,D.Rice,Arsenal,35,7
23,A.Traoré,Fulham,36,7
24,L.Trossard,Arsenal,38,7
25,R.Ait Nouri,Manchester City,37,7
26,J.Bellegarde,Wolverhampton Wanderers,35,7
27,T.Alexander-Arnold,Liverpool,1,0
28,A.Iwobi,Fulham,38,6
29,I.Sarr,Crystal Palace,38,6
30,D.Szoboszlai,Liverpool,36,6
