Rank,Player,Big_Chances_Created,Club
1,M.Salah,27.0,Liverpool
2,C.Palmer,24.0,Chelsea
3,B.Saka,21.0,Arsenal
4,B.Mbeumo,17.0,Brentford
5,I.Sarr,17.0,Marseille
6,J.Murphy,16.0,Newcastle United
7,B.Fernandes,16.0,Manchester United
8,M.Rogers,16.0,Aston Villa
9,H.Son,16.0,Tottenham Hotspur
11,Y.Tielemans,16.0,Aston Villa
12,M.Damsgaard,15.0,Brentford
13,K.De Bruyne,15.0,Manchester City
14,T.Alexander-Arnold,15.0,Liverpool
15,L.Digne,15.0,Aston Villa
16,M.Odegaard,13.0,Arsenal
17,E.Fernandez,13.0,Chelsea
18,L.Trossard,13.0,Arsenal
19,M.Cunha,13.0,Wolverhampton Wanderers
21,B.Guimaraes,12.0,Newcastle United
22,D.Szoboszlai,12.0,Liverpool
23,D.McNeil,12.0,Everton
24,L.Davis,12.0,Ipswich Town
25,E.Eze,11.0,Crystal Palace
26,J.Bowen,11.0,West Ham United
27,S.Savinho,11.0,Girona
28,A.Traore,11.0,Fulham
29,A.Isak,11.0,Newcastle United
