Rank,Player,Clean_Sheets,Club
1,D.Raya,13.0,Arsenal
2,M.Sels,13.0,Nottingham Forest
3,J.Pickford,12.0,Everton
4,D.Henderson,11.0,Crystal Palace
5,E.Moraes,10.0,Manchester City
6,R.Sanchez,10.0,Chelsea
7,A.Becker,9.0,Liverpool
8,A.Onana,9.0,Manchester United
9,N.Pope,8.0,Newcastle United
11,E.Martinez,8.0,Aston Villa
12,J.Sa,7.0,Wolverhampton Wanderers
13,M.Flekken,7.0,Brentford
14,B.Verbruggen,7.0,Brighton & Hove Albion
15,M.Dubravka,5.0,Newcastle United
16,B.Leno,5.0,Fulham
17,C.Kelleher,4.0,Liverpool
18,G.Vicario,4.0,Tottenham Hotspur
19,A.Areola,4.0,West Ham United
21,A.Ramsdale,3.0,Arsenal
22,J.Stolarczyk,2.0,Leicester City
23,L.Fabianski,2.0,West Ham United
24,J.Steele,1.0,Brighton & Hove Albion
25,D.Bentley,1.0,Wolverhampton Wanderers
26,M.Travers,1.0,AFC Bournemouth
27,R.Olsen,1.0,Aston Villa
28,F.Jorgensen,1.0,Chelsea
29,A.Bayindir,1.0,Manchester United
