Rank,Player,Expected_Goals,Club  
1,M.Salah,25.4,Liverpool  
2,E.Haaland,22.0,Manchester City  
3,A.Isak,20.4,Newcastle United  
4,Y.Wissa,18.6,Brentford  
5,C.Palmer,17.3,Chelsea  
6,O.Watkins,15.5,Aston Villa  
7,J.Mateta,13.5,Crystal Palace  
8,C.Wood,13.4,Nottingham Forest  
9,E.Evanilson,12.5,AFC Bournemouth  
11,N.Jackson,12.3,Chelsea  
12,L.Diaz,12.0,Liverpool  
13,R.Jimenez,12.0,Fulham  
14,J.Vardy,11.2,Leicester City  
15,D.Solanke,11.0,AFC Bournemouth  
16,I.Sarr,10.7,Crystal Palace  
17,E.Eze,10.5,Crystal Palace  
18,B.Johnson,10.4,Tottenham Hotspur  
19,J.Larsen,10.3,Wolverhampton Wanderers  
21,A.Semenyo,10.0,AFC Bournemouth  
22,B.Fernandes,10.0,Manchester United  
23,D.Welbeck,9.6,Brighton & Hove Albion  
24,K.Havertz,9.6,Arsenal  
25,N.Madueke,9.6,Chelsea  
26,L.Delap,9.3,Ipswich  
27,K.Mitoma,9.2,Brighton & Hove Albion  
28,J.Pedro,8.9,Brighton & Hove Albion  
29,M.Cunha,8.6,Wolverhampton Wanderers  
