Rank,Player,Won_Contests,Club
1,J.Doku,6.4,Manchester City  
2,E.Nwaneri,3.7,Arsenal  
3,M.Kudus,3.2,West Ham United  
4,J.Enciso,3.1,Brighton & Hove Albion  
5,R.Sosa,2.6,Nottingham Forest  
6,S.Savinho,2.6,Manchester City  
7,I.Ndiaye,2.5,Everton
8,K.Sulemana,2.5,Southampton  
9,A.Traore,2.4,Fulham  
11,E.Eze,2.3,Crystal Palace  
12,T.Dibling,2.2,Southampton  
13,Y.Minteh,2.2,Brighton & Hove Albion  
14,B.Saka,2.1,Arsenal  
15,M.Cunha,2.1,Wolverhampton Wanderers  
16,L.Diaz,2.0,Liverpool  
17,N.Madueke,2.0,Chelsea  
18,S.Mavididi,2.0,Leicester City  
19,R.Barkley,1.9,Luton Town  
21,D.Spence,1.9,Tottenham Hotspur  
22,A.Semenyo,1.9,AFC Bournemouth  
23,A.Amad,1.9,Manchester United  
24,M.Rogers,1.9,Aston Villa  
25,A.Wan-Bissaka,1.8,West Ham United  
26,R.Ait Nouri,1.8,Wolverhampton Wanderers  
27,O.Hutchinson,1.8,Ipswich Town  
28,K.Mitoma,1.8,Brighton & Hove Albion  
29,D.Ouattara,1.7,AFC Bournemouth  
